Origin,previous_cancellations_group,Canceled,Not Canceled,Canceled %,Not Canceled %
International,0 cancellations,16408,53643,23.42,76.58
Portugal,0 cancellations,21694,19256,52.98,47.02
International,1–2 cancellations,233,33,87.59,12.41
Portugal,1–2 cancellations,5488,347,94.05,5.95
Portugal,3–5 cancellations,25,63,28.41,71.59
International,6+ cancellations,38,13,74.51,25.49
Portugal,6+ cancellations,123,28,81.46,18.54
Total,0 cancellations,38102,72899,34.33,65.67
Total,1–2 cancellations,5721,380,93.77,6.23
Total,3–5 cancellations,25,63,28.41,71.59
Total,6+ cancellations,161,41,79.7,20.3
