Hotel,Origin,Trip Type,Canceled,Not Canceled,Canceled %,Not Canceled %
City Hotel,International,package,52,78,40.0,60.0
City Hotel,Portugal,package,10,8,55.56,44.44
City Hotel,International,rest,461,399,53.6,46.4
City Hotel,Portugal,rest,152,55,73.43,26.57
City Hotel,International,weekend,601,2172,21.67,78.33
City Hotel,Portugal,weekend,844,925,47.71,52.29
City Hotel,International,work,4869,14763,24.8,75.2
City Hotel,Portugal,work,11294,5957,65.47,34.53
City Hotel,International,work+rest,7018,17725,28.36,71.64
City Hotel,Portugal,work+rest,7671,3035,71.65,28.35
Resort Hotel,International,package,28,139,16.77,83.23
Resort Hotel,Portugal,package,44,39,53.01,46.99
Resort Hotel,International,rest,369,2213,14.29,85.71
Resort Hotel,Portugal,rest,761,385,66.4,33.6
Resort Hotel,International,weekend,88,919,8.74,91.26
Resort Hotel,Portugal,weekend,328,929,26.09,73.91
Resort Hotel,International,work,963,5295,15.39,84.61
Resort Hotel,Portugal,work,2234,5115,30.4,69.6
Resort Hotel,International,work+rest,2230,9986,18.25,81.75
Resort Hotel,Portugal,work+rest,3992,3246,55.15,44.85
City Hotel,Total,package,62,86,41.89,58.11
City Hotel,Total,rest,613,454,57.45,42.55
City Hotel,Total,weekend,1445,3097,31.81,68.19
City Hotel,Total,work,16163,20720,43.82,56.18
City Hotel,Total,work+rest,14689,20760,41.44,58.56
Resort Hotel,Total,package,72,178,28.8,71.2
Resort Hotel,Total,rest,1130,2598,30.31,69.69
Resort Hotel,Total,weekend,416,1848,18.37,81.63
Resort Hotel,Total,work,3197,10410,23.5,76.5
Resort Hotel,Total,work+rest,6222,13232,31.98,68.02
