Hotel,Country,Trip Type,Canceled,Not Canceled,Canceled %,Not Canceled %
City Hotel,DEU,package,5,12,29.41,70.59
City Hotel,DEU,rest,16,72,18.18,81.82
City Hotel,DEU,weekend,50,310,13.89,86.11
City Hotel,DEU,work,380,2141,15.07,84.93
City Hotel,DEU,work+rest,621,2447,20.24,79.76
City Hotel,ESP,package,4,7,36.36,63.64
City Hotel,ESP,rest,12,7,63.16,36.84
City Hotel,ESP,weekend,49,220,18.22,81.78
City Hotel,ESP,work,604,1557,27.95,72.05
City Hotel,ESP,work+rest,657,1463,30.99,69.01
City Hotel,FRA,package,4,12,25.0,75.0
City Hotel,FRA,rest,36,61,37.11,62.89
City Hotel,FRA,weekend,71,333,17.57,82.43
City Hotel,FRA,work,621,2781,18.25,81.75
City Hotel,FRA,work+rest,989,3854,20.42,79.58
City Hotel,GBR,package,9,5,64.29,35.71
City Hotel,GBR,rest,21,26,44.68,55.32
City Hotel,GBR,weekend,54,242,18.24,81.76
City Hotel,GBR,work,684,1536,30.81,69.19
City Hotel,GBR,work+rest,792,1924,29.16,70.84
City Hotel,PRT,package,10,8,55.56,44.44
City Hotel,PRT,rest,152,55,73.43,26.57
City Hotel,PRT,weekend,844,925,47.71,52.29
City Hotel,PRT,work,11294,5957,65.47,34.53
City Hotel,PRT,work+rest,7671,3035,71.65,28.35
Resort Hotel,DEU,package,0,7,0.0,100.0
Resort Hotel,DEU,rest,27,144,15.79,84.21
Resort Hotel,DEU,weekend,2,53,3.64,96.36
Resort Hotel,DEU,work,46,236,16.31,83.69
Resort Hotel,DEU,work+rest,71,606,10.49,89.51
Resort Hotel,ESP,package,7,9,43.75,56.25
Resort Hotel,ESP,rest,31,77,28.7,71.3
Resort Hotel,ESP,weekend,14,187,6.97,93.03
Resort Hotel,ESP,work,288,1328,17.82,82.18
Resort Hotel,ESP,work+rest,510,1457,25.93,74.07
Resort Hotel,FRA,package,3,6,33.33,66.67
Resort Hotel,FRA,rest,21,120,14.89,85.11
Resort Hotel,FRA,weekend,1,64,1.54,98.46
Resort Hotel,FRA,work,48,474,9.2,90.8
Resort Hotel,FRA,work+rest,138,722,16.05,83.95
Resort Hotel,GBR,package,11,55,16.67,83.33
Resort Hotel,GBR,rest,100,1065,8.58,91.42
Resort Hotel,GBR,weekend,10,201,4.74,95.26
Resort Hotel,GBR,work,245,1028,19.25,80.75
Resort Hotel,GBR,work+rest,525,3517,12.99,87.01
Resort Hotel,PRT,package,44,39,53.01,46.99
Resort Hotel,PRT,rest,761,385,66.4,33.6
Resort Hotel,PRT,weekend,328,929,26.09,73.91
Resort Hotel,PRT,work,2234,5115,30.4,69.6
Resort Hotel,PRT,work+rest,3992,3246,55.15,44.85
