Hotel,Origin,previous_cancellations_group,Canceled,Not Canceled,Canceled %,Not Canceled %
City Hotel,International,0 cancellations,12983,35105,27.0,73.0
City Hotel,Portugal,0 cancellations,15003,9696,60.74,39.26
City Hotel,International,1–2 cancellations,18,19,48.65,51.35
City Hotel,Portugal,1–2 cancellations,4931,199,96.12,3.88
City Hotel,Portugal,3–5 cancellations,8,57,12.31,87.69
City Hotel,International,6+ cancellations,0,13,0.0,100.0
City Hotel,Portugal,6+ cancellations,29,28,50.88,49.12
Resort Hotel,International,0 cancellations,3425,18538,15.59,84.41
Resort Hotel,Portugal,0 cancellations,6691,9560,41.17,58.83
Resort Hotel,International,1–2 cancellations,215,14,93.89,6.11
Resort Hotel,Portugal,1–2 cancellations,557,148,79.01,20.99
Resort Hotel,Portugal,3–5 cancellations,17,6,73.91,26.09
Resort Hotel,International,6+ cancellations,38,0,100.0,0.0
Resort Hotel,Portugal,6+ cancellations,94,0,100.0,0.0
City Hotel,Total,0 cancellations,27986,44801,38.45,61.55
City Hotel,Total,1–2 cancellations,4949,218,95.78,4.22
City Hotel,Total,3–5 cancellations,8,57,12.31,87.69
City Hotel,Total,6+ cancellations,29,41,41.43,58.57
Resort Hotel,Total,0 cancellations,10116,28098,26.47,73.53
Resort Hotel,Total,1–2 cancellations,772,162,82.66,17.34
Resort Hotel,Total,3–5 cancellations,17,6,73.91,26.09
Resort Hotel,Total,6+ cancellations,132,0,100.0,0.0
