Origin,Trip Type,previous_cancellations_group,Canceled,Not Canceled,Canceled %,Not Canceled %
International,package,0 cancellations,80,217,26.94,73.06
Portugal,package,0 cancellations,50,47,51.55,48.45
Portugal,package,1–2 cancellations,4,0,100.0,0.0
International,rest,0 cancellations,809,2612,23.65,76.35
Portugal,rest,0 cancellations,823,431,65.63,34.37
International,rest,1–2 cancellations,21,0,100.0,0.0
Portugal,rest,1–2 cancellations,87,7,92.55,7.45
Portugal,rest,3–5 cancellations,3,2,60.0,40.0
International,weekend,0 cancellations,687,3090,18.19,81.81
Portugal,weekend,0 cancellations,928,1804,33.97,66.03
International,weekend,1–2 cancellations,2,1,66.67,33.33
Portugal,weekend,1–2 cancellations,216,43,83.4,16.6
Portugal,weekend,3–5 cancellations,1,5,16.67,83.33
Portugal,weekend,6+ cancellations,27,2,93.1,6.9
International,work,0 cancellations,5730,20031,22.24,77.76
Portugal,work,0 cancellations,10505,10774,49.37,50.63
International,work,1–2 cancellations,102,19,84.3,15.7
Portugal,work,1–2 cancellations,2958,243,92.41,7.59
Portugal,work,3–5 cancellations,12,35,25.53,74.47
International,work,6+ cancellations,0,8,0.0,100.0
Portugal,work,6+ cancellations,53,20,72.6,27.4
International,work+rest,0 cancellations,9102,27693,24.74,75.26
Portugal,work+rest,0 cancellations,9388,6200,60.23,39.77
International,work+rest,1–2 cancellations,108,13,89.26,10.74
Portugal,work+rest,1–2 cancellations,2223,54,97.63,2.37
Portugal,work+rest,3–5 cancellations,9,21,30.0,70.0
International,work+rest,6+ cancellations,38,5,88.37,11.63
Portugal,work+rest,6+ cancellations,43,6,87.76,12.24
Total,package,0 cancellations,130,264,32.99,67.01
Total,package,1–2 cancellations,4,0,100.0,0.0
Total,rest,0 cancellations,1632,3043,34.91,65.09
Total,rest,1–2 cancellations,108,7,93.91,6.09
Total,rest,3–5 cancellations,3,2,60.0,40.0
Total,weekend,0 cancellations,1615,4894,24.81,75.19
Total,weekend,1–2 cancellations,218,44,83.21,16.79
Total,weekend,3–5 cancellations,1,5,16.67,83.33
Total,weekend,6+ cancellations,27,2,93.1,6.9
Total,work,0 cancellations,16235,30805,34.51,65.49
Total,work,1–2 cancellations,3060,262,92.11,7.89
Total,work,3–5 cancellations,12,35,25.53,74.47
Total,work,6+ cancellations,53,28,65.43,34.57
Total,work+rest,0 cancellations,18490,33893,35.3,64.7
Total,work+rest,1–2 cancellations,2331,67,97.21,2.79
Total,work+rest,3–5 cancellations,9,21,30.0,70.0
Total,work+rest,6+ cancellations,81,11,88.04,11.96
