tipo,statistic,value
package,mean,123.08949748743719
rest,mean,105.448771637122
weekend,mean,99.10911401704378
work,mean,101.00201822142999
work+rest,mean,106.02510227127844
package,median,111.22
rest,median,91.85
weekend,median,92.0
work,median,94.71
work+rest,median,96.0
package,std,60.046980081227304
rest,std,54.123825011241536
weekend,std,43.6831588465427
work,std,44.636126136577985
work+rest,std,47.9091215023665
package,min,1.56
rest,min,0.26
weekend,min,3.0
work,min,1.0
work+rest,min,1.0
package,max,397.38
rest,max,450.0
weekend,max,372.0
work,max,510.0
work+rest,max,451.5
package,count,398.0
rest,count,4795.0
weekend,count,6806.0
work,count,50490.0
work+rest,count,54903.0
