hotel,tipo,statistic,value
City Hotel,package,mean,116.27236486486487
City Hotel,rest,mean,112.5390159325211
City Hotel,weekend,mean,106.99060105680317
City Hotel,work,mean,105.85048857197083
City Hotel,work+rest,mean,107.73356935315523
Resort Hotel,package,mean,127.12524
Resort Hotel,rest,mean,103.419455472103
Resort Hotel,weekend,mean,83.29740282685513
Resort Hotel,work,mean,87.85980230763577
Resort Hotel,work+rest,mean,102.91194047496658
City Hotel,package,median,107.37
City Hotel,rest,median,101.15
City Hotel,weekend,median,99.9
City Hotel,work,median,100.0
City Hotel,work+rest,median,100.0
Resort Hotel,package,median,118.41
Resort Hotel,rest,median,88.2
Resort Hotel,weekend,median,65.2
Resort Hotel,work,median,68.0
Resort Hotel,work+rest,median,82.0
City Hotel,package,std,40.23312089334296
City Hotel,rest,std,42.85625426593093
City Hotel,weekend,std,35.134924041395834
City Hotel,work,std,37.547717323061924
City Hotel,work+rest,std,37.23451452845404
Resort Hotel,package,std,68.91411523670482
Resort Hotel,rest,std,56.782097614448894
Resort Hotel,weekend,std,53.72376473802288
Resort Hotel,work,std,57.75127808188964
Resort Hotel,work+rest,std,62.74214786070393
City Hotel,package,min,64.08
City Hotel,rest,min,0.5
City Hotel,weekend,min,3.0
City Hotel,work,min,1.0
City Hotel,work+rest,min,1.0
Resort Hotel,package,min,1.56
Resort Hotel,rest,min,0.26
Resort Hotel,weekend,min,4.0
Resort Hotel,work,min,2.0
Resort Hotel,work+rest,min,2.0
City Hotel,package,max,266.75
City Hotel,rest,max,321.94
City Hotel,weekend,max,295.0
City Hotel,work,max,510.0
City Hotel,work+rest,max,451.5
Resort Hotel,package,max,397.38
Resort Hotel,rest,max,450.0
Resort Hotel,weekend,max,372.0
Resort Hotel,work,max,508.0
Resort Hotel,work+rest,max,437.0
City Hotel,package,count,148.0
City Hotel,rest,count,1067.0
City Hotel,weekend,count,4542.0
City Hotel,work,count,36883.0
City Hotel,work+rest,count,35449.0
Resort Hotel,package,count,250.0
Resort Hotel,rest,count,3728.0
Resort Hotel,weekend,count,2264.0
Resort Hotel,work,count,13607.0
Resort Hotel,work+rest,count,19454.0
