Origin,Month,% Cancellations City Hotel,% Cancellations Resort Hotel
International,January,28.04,11.74
Portugal,January,58.95,17.96
Total,January,40.23,14.98
International,February,26.82,12.14
Portugal,February,57.39,37.45
Total,February,38.7,25.94
International,March,26.68,8.18
Portugal,March,60.01,39.58
Total,March,37.38,23.15
International,April,32.71,16.54
Portugal,April,73.81,49.06
Total,April,46.59,29.72
International,May,28.56,15.8
Portugal,May,72.89,54.97
Total,May,44.88,29.11
International,June,26.81,20.26
Portugal,June,71.8,55.78
Total,June,45.06,33.37
International,July,30.68,20.62
Portugal,July,60.89,46.01
Total,July,41.29,31.68
International,August,28.87,25.65
Portugal,August,66.97,42.65
Total,August,40.55,33.74
International,September,17.78,15.74
Portugal,September,68.54,62.0
Total,September,42.58,32.32
International,October,20.9,17.33
Portugal,October,68.95,47.33
Total,October,43.52,27.73
International,November,19.81,9.81
Portugal,November,64.99,30.34
Total,November,38.8,19.24
International,December,31.26,12.32
Portugal,December,62.48,35.31
Total,December,43.19,24.49
